code,code1,code2,code3,label,slug
D1105,D,11,05,Poissonnerie,poissonnerie
D1106,D,11,06,Vente en alimentation,vente-en-alimentation
D1107,D,11,07,Vente en gros de produits frais,vente-en-gros-de-produits-frais
D1201,D,12,01,"Achat vente d'objets d'art, anciens ou d'occasion",achat-vente-d-objets-d-art-anciens-ou-d-occasion
D1202,D,12,02,Coiffure,coiffure
D1203,D,12,03,Hydrothérapie,hydrotherapie
D1204,D,12,04,Location de véhicules ou de matériel de loisirs,location-de-vehicules-ou-de-materiel-de-loisirs
D1205,D,12,05,Nettoyage d'articles textiles ou cuirs,nettoyage-d-articles-textiles-ou-cuirs
D1206,D,12,06,Réparation d'articles en cuir et matériaux souples,reparation-d-articles-en-cuir-et-materiaux-souples
D1207,D,12,07,Retouches en habillement,retouches-en-habillement
D1208,D,12,08,Soins esthétiques et corporels,soins-esthetiques-et-corporels
D1209,D,12,09,Vente de végétaux,vente-de-vegetaux
D1210,D,12,10,Vente en animalerie,vente-en-animalerie
D1211,D,12,11,Vente en articles de sport et loisirs,vente-en-articles-de-sport-et-loisirs
D1212,D,12,12,Vente en décoration et équipement du foyer,vente-en-decoration-et-equipement-du-foyer
D1213,D,12,13,Vente en gros de matériel et équipement,vente-en-gros-de-materiel-et-equipement
D1214,D,12,14,Vente en habillement et accessoires de la personne,vente-en-habillement-et-accessoires-de-la-personne
D1301,D,13,01,Management de magasin de détail,management-de-magasin-de-detail
D1401,D,14,01,Assistanat commercial,assistanat-commercial
D1402,D,14,02,Relation commerciale grands comptes et entreprises,relation-commerciale-grands-comptes-et-entreprises
D1403,D,14,03,Relation commerciale auprès de particuliers,relation-commerciale-aupres-de-particuliers
D1404,D,14,04,Relation commerciale en vente de véhicules,relation-commerciale-en-vente-de-vehicules
D1405,D,14,05,Conseil en information médicale,conseil-en-information-medicale
D1406,D,14,06,Management en force de vente,management-en-force-de-vente
D1407,D,14,07,Relation technico-commerciale,relation-technico-commerciale
D1408,D,14,08,Téléconseil et télévente,teleconseil-et-televente
D1501,D,15,01,Animation de vente,animation-de-vente
D1502,D,15,02,Management/gestion de rayon produits alimentaires,management-gestion-de-rayon-produits-alimentaires
D1503,D,15,03,Management/gestion de rayon produits non alimentaires,management-gestion-de-rayon-produits-non-alimentaires
D1504,D,15,04,Direction de magasin de grande distribution,direction-de-magasin-de-grande-distribution
D1505,D,15,05,Personnel de caisse,personnel-de-caisse
D1506,D,15,06,Marchandisage,marchandisage
D1507,D,15,07,Mise en rayon libre-service,mise-en-rayon-libre-service
D1508,D,15,08,Encadrement du personnel de caisses,encadrement-du-personnel-de-caisses
D1509,D,15,09,Management de département en grande distribution,management-de-departement-en-grande-distribution
E1101,E,11,01,Animation de site multimédia,animation-de-site-multimedia
E1102,E,11,02,"Ecriture d'ouvrages, de livres",ecriture-d-ouvrages-de-livres
E1103,E,11,03,Communication,communication
E1104,E,11,04,Conception de contenus multimédias,conception-de-contenus-multimedias
E1105,E,11,05,Coordination d'édition,coordination-d-edition
E1106,E,11,06,Journalisme et information média,journalisme-et-information-media
E1107,E,11,07,Organisation d'évènementiel,organisation-d-evenementiel
E1108,E,11,08,"Traduction, interprétariat",traduction-interpretariat
E1201,E,12,01,Photographie,photographie
E1202,E,12,02,Production en laboratoire cinématographique,production-en-laboratoire-cinematographique
E1203,E,12,03,Production en laboratoire photographique,production-en-laboratoire-photographique
E1204,E,12,04,Projection cinéma,projection-cinema
E1205,E,12,05,Réalisation de contenus multimédias,realisation-de-contenus-multimedias
E1301,E,13,01,Conduite de machines d'impression,conduite-de-machines-d-impression
E1302,E,13,02,Conduite de machines de façonnage routage,conduite-de-machines-de-faconnage-routage
E1303,E,13,03,Encadrement des industries graphiques,encadrement-des-industries-graphiques
E1304,E,13,04,Façonnage et routage,faconnage-et-routage
E1305,E,13,05,Préparation et correction en édition et presse,preparation-et-correction-en-edition-et-presse
E1306,E,13,06,Prépresse,prepresse
E1307,E,13,07,Reprographie,reprographie
E1308,E,13,08,Intervention technique en industrie graphique,intervention-technique-en-industrie-graphique
E1401,E,14,01,Développement et promotion publicitaire,developpement-et-promotion-publicitaire
E1402,E,14,02,Élaboration de plan média,elaboration-de-plan-media
F1101,F,11,01,Architecture du BTP,architecture-du-btp
F1102,F,11,02,Conception - aménagement d'espaces intérieurs,conception-amenagement-d-espaces-interieurs
F1103,F,11,03,Contrôle et diagnostic technique du bâtiment,controle-et-diagnostic-technique-du-batiment
F1104,F,11,04,Dessin BTP,dessin-btp
F1105,F,11,05,Études géologiques,etudes-geologiques
F1106,F,11,06,Ingénierie et études du BTP,ingenierie-et-etudes-du-btp
F1107,F,11,07,Mesures topographiques,mesures-topographiques
