ROME|famille|domaine|metier|label|slugs|famille_label|domaine_label
F1705|F|17|05|Pose de canalisations|pose-de-canalisations|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Travaux et gros oeuvre
F1706|F|17|06|Préfabrication en béton industriel|prefabrication-en-beton-industriel|CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS|Travaux et gros oeuvre
G1101|G|11|01|Accueil touristique|accueil-touristique|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Accueil et promotion touristique
G1102|G|11|02|Promotion du tourisme local|promotion-du-tourisme-local|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Accueil et promotion touristique
G1201|G|12|01|Accompagnement de voyages, d'activités culturelles ou sportives|accompagnement-de-voyages-d-activites-culturelles-ou-sportives|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Animation d'activités de loisirs
G1202|G|12|02|Animation d'activités culturelles ou ludiques|animation-d-activites-culturelles-ou-ludiques|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Animation d'activités de loisirs
G1203|G|12|03|Animation de loisirs auprès d'enfants ou d'adolescents|animation-de-loisirs-aupres-d-enfants-ou-d-adolescents|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Animation d'activités de loisirs
G1204|G|12|04|Éducation en activités sportives|education-en-activites-sportives|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Animation d'activités de loisirs
G1205|G|12|05|Personnel d'attractions ou de structures de loisirs|personnel-d-attractions-ou-de-structures-de-loisirs|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Animation d'activités de loisirs
G1206|G|12|06|Personnel technique des jeux|personnel-technique-des-jeux|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Animation d'activités de loisirs
G1301|G|13|01|Conception de produits touristiques|conception-de-produits-touristiques|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Conception, commercialisation et vente de produits touristiques
G1302|G|13|02|Optimisation de produits touristiques|optimisation-de-produits-touristiques|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Conception, commercialisation et vente de produits touristiques
G1303|G|13|03|Vente de voyages|vente-de-voyages|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Conception, commercialisation et vente de produits touristiques
G1401|G|14|01|Assistance de direction d'hôtel-restaurant|assistance-de-direction-d-hotel-restaurant|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Gestion et direction
G1402|G|14|02|Management d'hôtel-restaurant|management-d-hotel-restaurant|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Gestion et direction
G1403|G|14|03|Gestion de structure de loisirs ou d'hébergement touristique|gestion-de-structure-de-loisirs-ou-d-hebergement-touristique|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Gestion et direction
G1404|G|14|04|Management d'établissement de restauration collective|management-d-etablissement-de-restauration-collective|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Gestion et direction
G1501|G|15|01|Personnel d'étage|personnel-d-etage|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Personnel d'étage en hôtellerie
G1502|G|15|02|Personnel polyvalent d'hôtellerie|personnel-polyvalent-d-hotellerie|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Personnel d'étage en hôtellerie
G1503|G|15|03|Management du personnel d'étage|management-du-personnel-d-etage|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Personnel d'étage en hôtellerie
G1601|G|16|01|Management du personnel de cuisine|management-du-personnel-de-cuisine|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Production culinaire
G1602|G|16|02|Personnel de cuisine|personnel-de-cuisine|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Production culinaire
G1603|G|16|03|Personnel polyvalent en restauration|personnel-polyvalent-en-restauration|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Production culinaire
G1604|G|16|04|Fabrication de crêpes ou pizzas|fabrication-de-crepes-ou-pizzas|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Production culinaire
G1605|G|16|05|Plonge en restauration|plonge-en-restauration|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Production culinaire
G1701|G|17|01|Conciergerie en hôtellerie|conciergerie-en-hotellerie|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Accueil en hôtellerie
G1702|G|17|02|Personnel du hall|personnel-du-hall|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Accueil en hôtellerie
G1703|G|17|03|Réception en hôtellerie|reception-en-hotellerie|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Accueil en hôtellerie
G1801|G|18|01|Café, bar brasserie|cafe-bar-brasserie|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Service
G1802|G|18|02|Management du service en restauration|management-du-service-en-restauration|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Service
G1803|G|18|03|Service en restauration|service-en-restauration|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Service
G1804|G|18|04|Sommellerie|sommellerie|HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION|Service
H1101|H|11|01|Assistance et support technique client|assistance-et-support-technique-client|INDUSTRIE|Affaires et support technique client
H1102|H|11|02|Management et ingénierie d'affaires|management-et-ingenierie-d-affaires|INDUSTRIE|Affaires et support technique client
H1201|H|12|01|Expertise technique couleur en industrie|expertise-technique-couleur-en-industrie|INDUSTRIE|Conception, recherche, études et développement
H1202|H|12|02|Conception et dessin de produits électriques et électroniques|conception-et-dessin-de-produits-electriques-et-electroniques|INDUSTRIE|Conception, recherche, études et développement
H1203|H|12|03|Conception et dessin produits mécaniques|conception-et-dessin-produits-mecaniques|INDUSTRIE|Conception, recherche, études et développement
H1204|H|12|04|Design industriel|design-industriel|INDUSTRIE|Conception, recherche, études et développement
H1205|H|12|05|Études - modèles en industrie des matériaux souples|etudes-modeles-en-industrie-des-materiaux-souples|INDUSTRIE|Conception, recherche, études et développement
H1206|H|12|06|Management et ingénierie études, recherche et développement industriel|management-et-ingenierie-etudes-recherche-et-developpement-industriel|INDUSTRIE|Conception, recherche, études et développement
H1207|H|12|07|Rédaction technique|redaction-technique|INDUSTRIE|Conception, recherche, études et développement
H1208|H|12|08|Intervention technique en études et conception en automatisme|intervention-technique-en-etudes-et-conception-en-automatisme|INDUSTRIE|Conception, recherche, études et développement
H1209|H|12|09|Intervention technique en études et développement électronique|intervention-technique-en-etudes-et-developpement-electronique|INDUSTRIE|Conception, recherche, études et développement
H1210|H|12|10|Intervention technique en études, recherche et développement|intervention-technique-en-etudes-recherche-et-developpement|INDUSTRIE|Conception, recherche, études et développement
H1301|H|13|01|Inspection de conformité|inspection-de-conformite|INDUSTRIE|Hygiène Sécurité Environnement -HSE- industriels
H1302|H|13|02|Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels|management-et-ingenierie-hygiene-securite-environnement-hse-industriels|INDUSTRIE|Hygiène Sécurité Environnement -HSE- industriels
H1303|H|13|03|Intervention technique en Hygiène Sécurité Environnement -HSE- industriel|intervention-technique-en-hygiene-securite-environnement-hse-industriel|INDUSTRIE|Hygiène Sécurité Environnement -HSE- industriels
H1401|H|14|01|Management et ingénierie gestion industrielle et logistique|management-et-ingenierie-gestion-industrielle-et-logistique|INDUSTRIE|Méthodes et gestion industrielles
H1402|H|14|02|Management et ingénierie méthodes et industrialisation|management-et-ingenierie-methodes-et-industrialisation|INDUSTRIE|Méthodes et gestion industrielles
H1403|H|14|03|Intervention technique en gestion industrielle et logistique|intervention-technique-en-gestion-industrielle-et-logistique|INDUSTRIE|Méthodes et gestion industrielles
H1404|H|14|04|Intervention technique en méthodes et industrialisation|intervention-technique-en-methodes-et-industrialisation|INDUSTRIE|Méthodes et gestion industrielles
H1501|H|15|01|Direction de laboratoire d'analyse industrielle|direction-de-laboratoire-d-analyse-industrielle|INDUSTRIE|Qualité et analyses industrielles
H1502|H|15|02|Management et ingénierie qualité industrielle|management-et-ingenierie-qualite-industrielle|INDUSTRIE|Qualité et analyses industrielles
H1503|H|15|03|Intervention technique en laboratoire d'analyse industrielle|intervention-technique-en-laboratoire-d-analyse-industrielle|INDUSTRIE|Qualité et analyses industrielles
H1504|H|15|04|Intervention technique en contrôle essai qualité en électricité et électronique|intervention-technique-en-controle-essai-qualite-en-electricite-et-electronique|INDUSTRIE|Qualité et analyses industrielles
H1505|H|15|05|Intervention technique en formulation et analyse sensorielle|intervention-technique-en-formulation-et-analyse-sensorielle|INDUSTRIE|Qualité et analyses industrielles
H1506|H|15|06|Intervention technique qualité en mécanique et travail des métaux|intervention-technique-qualite-en-mecanique-et-travail-des-metaux|INDUSTRIE|Qualité et analyses industrielles
H2101|H|21|01|Abattage et découpe des viandes|abattage-et-decoupe-des-viandes|INDUSTRIE|Alimentaire
H2102|H|21|02|Conduite d'équipement de production alimentaire|conduite-d-equipement-de-production-alimentaire|INDUSTRIE|Alimentaire
H2201|H|22|01|Assemblage d'ouvrages en bois|assemblage-d-ouvrages-en-bois|INDUSTRIE|Bois
H2202|H|22|02|Conduite d'équipement de fabrication de l'ameublement et du bois|conduite-d-equipement-de-fabrication-de-l-ameublement-et-du-bois|INDUSTRIE|Bois
H2203|H|22|03|Conduite d'installation de production de panneaux bois|conduite-d-installation-de-production-de-panneaux-bois|INDUSTRIE|Bois
H2204|H|22|04|Encadrement des industries de l'ameublement et du bois|encadrement-des-industries-de-l-ameublement-et-du-bois|INDUSTRIE|Bois
H2205|H|22|05|Première transformation de bois d'oeuvre|premiere-transformation-de-bois-d-oeuvre|INDUSTRIE|Bois
H2206|H|22|06|Réalisation de menuiserie bois et tonnellerie|realisation-de-menuiserie-bois-et-tonnellerie|INDUSTRIE|Bois
H2207|H|22|07|Réalisation de meubles en bois|realisation-de-meubles-en-bois|INDUSTRIE|Bois
H2208|H|22|08|Réalisation d'ouvrages décoratifs en bois|realisation-d-ouvrages-decoratifs-en-bois|INDUSTRIE|Bois
H2209|H|22|09|Intervention technique en ameublement et bois|intervention-technique-en-ameublement-et-bois|INDUSTRIE|Bois
H2301|H|23|01|Conduite d'équipement de production chimique ou pharmaceutique|conduite-d-equipement-de-production-chimique-ou-pharmaceutique|INDUSTRIE|Chimie et pharmacie
H2401|H|24|01|Assemblage - montage d'articles en cuirs, peaux|assemblage-montage-d-articles-en-cuirs-peaux|INDUSTRIE|Cuir et textile
H2402|H|24|02|Assemblage - montage de vêtements et produits textiles|assemblage-montage-de-vetements-et-produits-textiles|INDUSTRIE|Cuir et textile
H2403|H|24|03|Conduite de machine de fabrication de produits textiles|conduite-de-machine-de-fabrication-de-produits-textiles|INDUSTRIE|Cuir et textile
H2404|H|24|04|Conduite de machine de production et transformation des fils|conduite-de-machine-de-production-et-transformation-des-fils|INDUSTRIE|Cuir et textile
H2405|H|24|05|Conduite de machine de textiles nontissés|conduite-de-machine-de-textiles-nontisses|INDUSTRIE|Cuir et textile
H2406|H|24|06|Conduite de machine de traitement textile|conduite-de-machine-de-traitement-textile|INDUSTRIE|Cuir et textile
H2407|H|24|07|Conduite de machine de transformation et de finition des cuirs et peaux|conduite-de-machine-de-transformation-et-de-finition-des-cuirs-et-peaux|INDUSTRIE|Cuir et textile
H2408|H|24|08|Conduite de machine d'impression textile|conduite-de-machine-d-impression-textile|INDUSTRIE|Cuir et textile
H2409|H|24|09|Coupe cuir, textile et matériaux souples|coupe-cuir-textile-et-materiaux-souples|INDUSTRIE|Cuir et textile
H2410|H|24|10|Mise en forme, repassage et finitions en industrie textile|mise-en-forme-repassage-et-finitions-en-industrie-textile|INDUSTRIE|Cuir et textile
H2411|H|24|11|Montage de prototype cuir et matériaux souples|montage-de-prototype-cuir-et-materiaux-souples|INDUSTRIE|Cuir et textile
H2412|H|24|12|Patronnage - gradation|patronnage-gradation|INDUSTRIE|Cuir et textile
H2413|H|24|13|Préparation de fils, montage de métiers textiles|preparation-de-fils-montage-de-metiers-textiles|INDUSTRIE|Cuir et textile
H2414|H|24|14|Préparation et finition d'articles en cuir et matériaux souples|preparation-et-finition-d-articles-en-cuir-et-materiaux-souples|INDUSTRIE|Cuir et textile
H2415|H|24|15|Contrôle en industrie du cuir et du textile|controle-en-industrie-du-cuir-et-du-textile|INDUSTRIE|Cuir et textile
H2501|H|25|01|Encadrement de production de matériel électrique et électronique|encadrement-de-production-de-materiel-electrique-et-electronique|INDUSTRIE|Direction, encadrement et pilotage de fabrication et production industrielles
H2502|H|25|02|Management et ingénierie de production|management-et-ingenierie-de-production|INDUSTRIE|Direction, encadrement et pilotage de fabrication et production industrielles
H2503|H|25|03|Pilotage d'unité élémentaire de production mécanique ou de travail des métaux|pilotage-d-unite-elementaire-de-production-mecanique-ou-de-travail-des-metaux|INDUSTRIE|Direction, encadrement et pilotage de fabrication et production industrielles
H2504|H|25|04|Encadrement d'équipe en industrie de transformation|encadrement-d-equipe-en-industrie-de-transformation|INDUSTRIE|Direction, encadrement et pilotage de fabrication et production industrielles
H2505|H|25|05|Encadrement d'équipe ou d'atelier en matériaux souples|encadrement-d-equipe-ou-d-atelier-en-materiaux-souples|INDUSTRIE|Direction, encadrement et pilotage de fabrication et production industrielles
H2601|H|26|01|Bobinage électrique|bobinage-electrique|INDUSTRIE|Electronique et électricité
H2602|H|26|02|Câblage électrique et électromécanique|cablage-electrique-et-electromecanique|INDUSTRIE|Electronique et électricité
H2603|H|26|03|Conduite d'installation automatisée de production électrique, électronique et microélectronique|conduite-d-installation-automatisee-de-production-electrique-electronique-et-microelectronique|INDUSTRIE|Electronique et électricité
H2604|H|26|04|Montage de produits électriques et électroniques|montage-de-produits-electriques-et-electroniques|INDUSTRIE|Electronique et électricité
H2605|H|26|05|Montage et câblage électronique|montage-et-cablage-electronique|INDUSTRIE|Electronique et électricité
H2701|H|27|01|Pilotage d'installation énergétique et pétrochimique|pilotage-d-installation-energetique-et-petrochimique|INDUSTRIE|Energie
H2801|H|28|01|Conduite d'équipement de transformation du verre|conduite-d-equipement-de-transformation-du-verre|INDUSTRIE|Matériaux de construction, céramique et verre
H2802|H|28|02|Conduite d'installation de production de matériaux de construction|conduite-d-installation-de-production-de-materiaux-de-construction|INDUSTRIE|Matériaux de construction, céramique et verre
H2803|H|28|03|Façonnage et émaillage en industrie céramique|faconnage-et-emaillage-en-industrie-ceramique|INDUSTRIE|Matériaux de construction, céramique et verre
H2804|H|28|04|Pilotage de centrale à béton prêt à l'emploi, ciment, enrobés et granulats|pilotage-de-centrale-a-beton-pret-a-l-emploi-ciment-enrobes-et-granulats|INDUSTRIE|Matériaux de construction, céramique et verre
H2805|H|28|05|Pilotage d'installation de production verrière|pilotage-d-installation-de-production-verriere|INDUSTRIE|Matériaux de construction, céramique et verre
H2901|H|29|01|Ajustement et montage de fabrication|ajustement-et-montage-de-fabrication|INDUSTRIE|Mécanique, travail des métaux et outillage
H2902|H|29|02|Chaudronnerie - tôlerie|chaudronnerie-tolerie|INDUSTRIE|Mécanique, travail des métaux et outillage
H2903|H|29|03|Conduite d'équipement d'usinage|conduite-d-equipement-d-usinage|INDUSTRIE|Mécanique, travail des métaux et outillage
H2904|H|29|04|Conduite d'équipement de déformation des métaux|conduite-d-equipement-de-deformation-des-metaux|INDUSTRIE|Mécanique, travail des métaux et outillage
H2905|H|29|05|Conduite d'équipement de formage et découpage des matériaux|conduite-d-equipement-de-formage-et-decoupage-des-materiaux|INDUSTRIE|Mécanique, travail des métaux et outillage
H2906|H|29|06|Conduite d'installation automatisée ou robotisée de fabrication mécanique|conduite-d-installation-automatisee-ou-robotisee-de-fabrication-mecanique|INDUSTRIE|Mécanique, travail des métaux et outillage
H2907|H|29|07|Conduite d'installation de production des métaux|conduite-d-installation-de-production-des-metaux|INDUSTRIE|Mécanique, travail des métaux et outillage
H2908|H|29|08|Modelage de matériaux non métalliques|modelage-de-materiaux-non-metalliques|INDUSTRIE|Mécanique, travail des métaux et outillage
H2909|H|29|09|Montage-assemblage mécanique|montage-assemblage-mecanique|INDUSTRIE|Mécanique, travail des métaux et outillage
H2910|H|29|10|Moulage sable|moulage-sable|INDUSTRIE|Mécanique, travail des métaux et outillage
H2911|H|29|11|Réalisation de structures métalliques|realisation-de-structures-metalliques|INDUSTRIE|Mécanique, travail des métaux et outillage
H2912|H|29|12|Réglage d'équipement de production industrielle|reglage-d-equipement-de-production-industrielle|INDUSTRIE|Mécanique, travail des métaux et outillage
H2913|H|29|13|Soudage manuel|soudage-manuel|INDUSTRIE|Mécanique, travail des métaux et outillage
H2914|H|29|14|Réalisation et montage en tuyauterie|realisation-et-montage-en-tuyauterie|INDUSTRIE|Mécanique, travail des métaux et outillage
H3101|H|31|01|Conduite d'équipement de fabrication de papier ou de carton|conduite-d-equipement-de-fabrication-de-papier-ou-de-carton|INDUSTRIE|Papier et carton
H3102|H|31|02|Conduite d'installation de pâte à papier|conduite-d-installation-de-pate-a-papier|INDUSTRIE|Papier et carton
H3201|H|32|01|Conduite d'équipement de formage des plastiques et caoutchoucs|conduite-d-equipement-de-formage-des-plastiques-et-caoutchoucs|INDUSTRIE|Plastique, caoutchouc
H3202|H|32|02|Réglage d'équipement de formage des plastiques et caoutchoucs|reglage-d-equipement-de-formage-des-plastiques-et-caoutchoucs|INDUSTRIE|Plastique, caoutchouc
H3203|H|32|03|Fabrication de pièces en matériaux composites|fabrication-de-pieces-en-materiaux-composites|INDUSTRIE|Plastique, caoutchouc
H3301|H|33|01|Conduite d'équipement de conditionnement|conduite-d-equipement-de-conditionnement|INDUSTRIE|Préparation et conditionnement
H3302|H|33|02|Opérations manuelles d'assemblage, tri ou emballage|operations-manuelles-d-assemblage-tri-ou-emballage|INDUSTRIE|Préparation et conditionnement
H3303|H|33|03|Préparation de matières et produits industriels (broyage, mélange, ...)|preparation-de-matieres-et-produits-industriels-broyage-melange|INDUSTRIE|Préparation et conditionnement
H3401|H|34|01|Conduite de traitement d'abrasion de surface|conduite-de-traitement-d-abrasion-de-surface|INDUSTRIE|Traitements thermiques et traitements de surfaces
H3402|H|34|02|Conduite de traitement par dépôt de surface|conduite-de-traitement-par-depot-de-surface|INDUSTRIE|Traitements thermiques et traitements de surfaces
H3403|H|34|03|Conduite de traitement thermique|conduite-de-traitement-thermique|INDUSTRIE|Traitements thermiques et traitements de surfaces
H3404|H|34|04|Peinture industrielle|peinture-industrielle|INDUSTRIE|Traitements thermiques et traitements de surfaces
I1101|I|11|01|Direction et ingénierie en entretien infrastructure et bâti|direction-et-ingenierie-en-entretien-infrastructure-et-bati|INSTALLATION ET MAINTENANCE|Encadrement
I1102|I|11|02|Management et ingénierie de maintenance industrielle|management-et-ingenierie-de-maintenance-industrielle|INSTALLATION ET MAINTENANCE|Encadrement
I1103|I|11|03|Supervision d'entretien et gestion de véhicules|supervision-d-entretien-et-gestion-de-vehicules|INSTALLATION ET MAINTENANCE|Encadrement
I1201|I|12|01|Entretien d'affichage et mobilier urbain|entretien-d-affichage-et-mobilier-urbain|INSTALLATION ET MAINTENANCE|Entretien technique
I1202|I|12|02|Entretien et surveillance du tracé routier|entretien-et-surveillance-du-trace-routier|INSTALLATION ET MAINTENANCE|Entretien technique
I1203|I|12|03|Maintenance des bâtiments et des locaux|maintenance-des-batiments-et-des-locaux|INSTALLATION ET MAINTENANCE|Entretien technique
I1301|I|13|01|Installation et maintenance d'ascenseurs|installation-et-maintenance-d-ascenseurs|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1302|I|13|02|Installation et maintenance d'automatismes|installation-et-maintenance-d-automatismes|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1303|I|13|03|Installation et maintenance de distributeurs automatiques|installation-et-maintenance-de-distributeurs-automatiques|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1304|I|13|04|Installation et maintenance d'équipements industriels et d'exploitation|installation-et-maintenance-d-equipements-industriels-et-d-exploitation|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1305|I|13|05|Installation et maintenance électronique|installation-et-maintenance-electronique|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1306|I|13|06|Installation et maintenance en froid, conditionnement d'air|installation-et-maintenance-en-froid-conditionnement-d-air|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1307|I|13|07|Installation et maintenance télécoms et courants faibles|installation-et-maintenance-telecoms-et-courants-faibles|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1308|I|13|08|Maintenance d'installation de chauffage|maintenance-d-installation-de-chauffage|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1309|I|13|09|Maintenance électrique|maintenance-electrique|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1310|I|13|10|Maintenance mécanique industrielle|maintenance-mecanique-industrielle|INSTALLATION ET MAINTENANCE|Equipements de production, équipements collectifs
I1401|I|14|01|Maintenance informatique et bureautique|maintenance-informatique-et-bureautique|INSTALLATION ET MAINTENANCE|Equipements domestiques et informatique
I1402|I|14|02|Réparation de biens électrodomestiques|reparation-de-biens-electrodomestiques|INSTALLATION ET MAINTENANCE|Equipements domestiques et informatique
I1501|I|15|01|Intervention en grande hauteur|intervention-en-grande-hauteur|INSTALLATION ET MAINTENANCE|Travaux d'accès difficile
I1502|I|15|02|Intervention en milieu subaquatique|intervention-en-milieu-subaquatique|INSTALLATION ET MAINTENANCE|Travaux d'accès difficile
I1503|I|15|03|Intervention en milieux et produits nocifs|intervention-en-milieux-et-produits-nocifs|INSTALLATION ET MAINTENANCE|Travaux d'accès difficile
I1601|I|16|01|Installation et maintenance en nautisme|installation-et-maintenance-en-nautisme|INSTALLATION ET MAINTENANCE|Véhicules, engins, aéronefs
I1602|I|16|02|Maintenance d'aéronefs|maintenance-d-aeronefs|INSTALLATION ET MAINTENANCE|Véhicules, engins, aéronefs
I1603|I|16|03|Maintenance d'engins de chantier, levage, manutention et de machines agricoles|maintenance-d-engins-de-chantier-levage-manutention-et-de-machines-agricoles|INSTALLATION ET MAINTENANCE|Véhicules, engins, aéronefs
I1604|I|16|04|Mécanique automobile et entretien de véhicules|mecanique-automobile-et-entretien-de-vehicules|INSTALLATION ET MAINTENANCE|Véhicules, engins, aéronefs
I1605|I|16|05|Mécanique de marine|mecanique-de-marine|INSTALLATION ET MAINTENANCE|Véhicules, engins, aéronefs
I1606|I|16|06|Réparation de carrosserie|reparation-de-carrosserie|INSTALLATION ET MAINTENANCE|Véhicules, engins, aéronefs
I1607|I|16|07|Réparation de cycles, motocycles et motoculteurs de loisirs|reparation-de-cycles-motocycles-et-motoculteurs-de-loisirs|INSTALLATION ET MAINTENANCE|Véhicules, engins, aéronefs
J1101|J|11|01|Médecine de prévention|medecine-de-prevention|SANTE|Praticiens médicaux
J1102|J|11|02|Médecine généraliste et spécialisée|medecine-generaliste-et-specialisee|SANTE|Praticiens médicaux
J1103|J|11|03|Médecine dentaire|medecine-dentaire|SANTE|Praticiens médicaux
J1104|J|11|04|Suivi de la grossesse et de l'accouchement|suivi-de-la-grossesse-et-de-l-accouchement|SANTE|Praticiens médicaux
J1201|J|12|01|Biologie médicale|biologie-medicale|SANTE|Praticiens médico-techniques
J1202|J|12|02|Pharmacie|pharmacie|SANTE|Praticiens médico-techniques
J1301|J|13|01|Personnel polyvalent des services hospitaliers|personnel-polyvalent-des-services-hospitaliers|SANTE|Professionnels médico-techniques
J1302|J|13|02|Analyses médicales|analyses-medicales|SANTE|Professionnels médico-techniques
J1303|J|13|03|Assistance médico-technique|assistance-medico-technique|SANTE|Professionnels médico-techniques
J1304|J|13|04|Aide en puériculture|aide-en-puericulture|SANTE|Professionnels médico-techniques
J1305|J|13|05|Conduite de véhicules sanitaires|conduite-de-vehicules-sanitaires|SANTE|Professionnels médico-techniques
J1306|J|13|06|Imagerie médicale|imagerie-medicale|SANTE|Professionnels médico-techniques
J1307|J|13|07|Préparation en pharmacie|preparation-en-pharmacie|SANTE|Professionnels médico-techniques
J1401|J|14|01|Audioprothèses|audioprotheses|SANTE|Rééducation et appareillage
J1402|J|14|02|Diététique|dietetique|SANTE|Rééducation et appareillage
J1403|J|14|03|Ergothérapie|ergotherapie|SANTE|Rééducation et appareillage
J1404|J|14|04|Kinésithérapie|kinesitherapie|SANTE|Rééducation et appareillage
J1405|J|14|05|Optique - lunetterie|optique-lunetterie|SANTE|Rééducation et appareillage
J1406|J|14|06|Orthophonie|orthophonie|SANTE|Rééducation et appareillage
J1407|J|14|07|Orthoptique|orthoptique|SANTE|Rééducation et appareillage
J1408|J|14|08|Ostéopathie et chiropraxie|osteopathie-et-chiropraxie|SANTE|Rééducation et appareillage
J1409|J|14|09|Pédicurie et podologie|pedicurie-et-podologie|SANTE|Rééducation et appareillage
J1410|J|14|10|Prothèses dentaires|protheses-dentaires|SANTE|Rééducation et appareillage
J1411|J|14|11|Prothèses et orthèses|protheses-et-ortheses|SANTE|Rééducation et appareillage
J1412|J|14|12|Rééducation en psychomotricité|reeducation-en-psychomotricite|SANTE|Rééducation et appareillage
J1501|J|15|01|Soins d'hygiène, de confort du patient|soins-d-hygiene-de-confort-du-patient|SANTE|Soins paramédicaux
J1502|J|15|02|Coordination de services médicaux ou paramédicaux|coordination-de-services-medicaux-ou-paramedicaux|SANTE|Soins paramédicaux
J1503|J|15|03|Soins infirmiers spécialisés en anesthésie|soins-infirmiers-specialises-en-anesthesie|SANTE|Soins paramédicaux
J1504|J|15|04|Soins infirmiers spécialisés en bloc opératoire|soins-infirmiers-specialises-en-bloc-operatoire|SANTE|Soins paramédicaux
J1505|J|15|05|Soins infirmiers spécialisés en prévention|soins-infirmiers-specialises-en-prevention|SANTE|Soins paramédicaux
J1506|J|15|06|Soins infirmiers généralistes|soins-infirmiers-generalistes|SANTE|Soins paramédicaux
J1507|J|15|07|Soins infirmiers spécialisés en puériculture|soins-infirmiers-specialises-en-puericulture|SANTE|Soins paramédicaux
K1101|K|11|01|Accompagnement et médiation familiale|accompagnement-et-mediation-familiale|SERVICES A LA PERSONNE ET A LA COLLECTIVITE|Accompagnement de la personne
K1102|K|11|02|Aide aux bénéficiaires d'une mesure de protection juridique|aide-aux-beneficiaires-d-une-mesure-de-protection-juridique|SERVICES A LA PERSONNE ET A LA COLLECTIVITE|Accompagnement de la personne
K1103|K|11|03|Développement personnel et bien-être de la personne|developpement-personnel-et-bien-etre-de-la-personne|SERVICES A LA PERSONNE ET A LA COLLECTIVITE|Accompagnement de la personne
K1104|K|11|04|Psychologie|psychologie|SERVICES A LA PERSONNE ET A LA COLLECTIVITE|Accompagnement de la personne
K1201|K|12|01|Action sociale|action-sociale|SERVICES A LA PERSONNE ET A LA COLLECTIVITE|Action sociale, socio-éducative et socio-culturelle
K1202|K|12|02|Éducation de jeunes enfants|education-de-jeunes-enfants|SERVICES A LA PERSONNE ET A LA COLLECTIVITE|Action sociale, socio-éducative et socio-culturelle
K1203|K|12|03|Encadrement technique en insertion professionnelle|encadrement-technique-en-insertion-professionnelle|SERVICES A LA PERSONNE ET A LA COLLECTIVITE|Action sociale, socio-éducative et socio-culturelle
K1204|K|12|04|Médiation sociale et facilitation de la vie en société|mediation-sociale-et-facilitation-de-la-vie-en-societe|SERVICES A LA PERSONNE ET A LA COLLECTIVITE|Action sociale, socio-éducative et socio-culturelle
