A1101,0111Z,"""Culture de céréales (à l'exception du riz)",Conduite d'engins agricoles et forestiers,798,x,,,386,263,61,25,10,2,0,4,0,0,0,0,0,0,0,47
A1101,0111Z,"""Culture de céréales (à l'exception du riz)",Conduite d'engins agricoles et forestiers,156,,,,75,24,4,19,0,2,0,2,0,0,0,0,0,0,0,30
A1101,0113Z,"""Culture de légumes",Conduite d'engins agricoles et forestiers,182,,,,41,53,18,27,13,14,8,1,0,0,0,0,0,0,0,7
A1101,0121Z,Culture de la vigne,Conduite d'engins agricoles et forestiers,672,,,,219,173,109,62,39,15,3,0,0,0,0,0,0,0,0,52
A1101,0124Z,Culture de fruits à pépins et à noyau,Conduite d'engins agricoles et forestiers,192,,,,57,44,44,16,11,10,0,0,0,0,0,0,0,0,0,10
A1101,0130Z,Reproduction de plantes,Conduite d'engins agricoles et forestiers,36,,,,5,1,4,9,5,6,3,0,0,0,0,0,0,0,0,3
A1101,0141Z,Élevage de vaches laitières,Conduite d'engins agricoles et forestiers,262,x,,,132,99,7,4,0,0,0,0,0,0,0,0,0,0,0,20
A1101,0142Z,Élevage d'autres bovins et de buffles,Conduite d'engins agricoles et forestiers,138,x,,,91,36,4,1,0,0,0,0,0,0,0,0,0,0,0,6
A1101,0145Z,Élevage d'ovins et de caprins,Conduite d'engins agricoles et forestiers,31,,,,22,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
A1101,0146Z,Élevage de porcins,Conduite d'engins agricoles et forestiers,62,,,,17,32,11,1,1,0,0,0,0,0,0,0,0,0,0,0
A1101,0147Z,Élevage de volailles,Conduite d'engins agricoles et forestiers,358,,,,215,77,7,5,9,2,0,1,0,0,0,0,0,0,0,42
A1101,0147Z,Élevage de volailles,Conduite d'engins agricoles et forestiers,245,,,,60,58,1,11,0,7,20,67,0,0,0,0,0,0,0,21
A1101,0150Z,Culture et élevage associés,Conduite d'engins agricoles et forestiers,319,x,,,157,109,21,9,2,1,0,1,0,0,0,0,0,0,0,19
A1101,0161Z,Activités de soutien aux cultures,Conduite d'engins agricoles et forestiers,1038,x,,,275,237,183,113,107,51,7,9,0,0,0,0,0,0,0,56
