moyenne;date_month
2.41;10-2019
0.22;11-2018
3.13;11-2019
1.93;1-2019
4.50;1-2020
1.11;12-2018
4.19;12-2019
2.62;2-2019
4.26;2-2020
2.73;3-2019
3.38;3-2020
3.46;4-2019
3.85;5-2019
4.18;6-2019
3.70;7-2019
6.29;8-2019
3.20;9-2019
