Aguts,81470,43.531040,1.921310
Agy,14400,49.239370,-0.764380
Ahaxe Alciette Bascassan,64220,43.148810,-1.163280
Ahetze,64210,43.405760,-1.570840
Ahéville,88500,48.285870,6.193230
Ahuillé,53940,48.019210,-0.870900
Ahun,23150,46.086950,2.045180
Ahuy,21121,47.369120,5.021520
Aibes,59149,50.236570,4.094150
Aibre,25750,47.549380,6.696280
Aïcirits Camou Suhast,64120,43.337200,-1.022630
Aiffres,79230,46.286640,-0.414710
Aigaliers,30700,44.058740,4.321080
Aiglemont,08090,49.781420,4.766020
Aiglepierre,39110,46.952520,5.819720
Aigleville,27120,49.007870,1.420610
Aiglun,04510,44.068900,6.135410
Aiglun,06910,43.857730,6.914640
Aignan,32290,43.697270,0.083490
Aignay le Duc,21510,47.665590,4.735910
Aigne,34210,43.330790,2.795200
Aigné,72650,48.066000,0.119310
Aignerville,14710,49.319920,-0.920980
Aignes,31550,43.320340,1.588590
Aignes et Puypéroux,16190,45.450430,0.144030
Aigneville,80210,50.033410,1.618270
Aigny,51150,49.035720,4.206270
Aigonnay,79370,46.329970,-0.259300
Aigre,16140,45.894160,0.013520
Aigrefeuille,31280,43.568160,1.589360
Aigrefeuille d'Aunis,17290,46.117030,-0.933190
Aigrefeuille sur Maine,44140,47.077160,-1.399190
Aigremont,30350,43.966020,4.121830
Aigremont,52400,48.016680,5.717000
Aigremont,78240,48.903830,2.019360
Aigremont,89800,47.718620,3.890540
Aiguebelette le Lac,73610,45.537560,5.814960
Aiguebelle,73220,45.541970,6.305120
Aigueblanche,73260,45.501800,6.508800
Aiguefonde,81200,43.494930,2.315970
Aigueperse,63260,46.024330,3.204170
Aigueperse,69790,46.277560,4.434270
Aigues Juntes,09240,43.055330,1.472490
Aigues Mortes,30220,43.568560,4.190760
Aigues Vives,09600,42.996270,1.873720
Aigues Vives,11800,43.231230,2.533970
Aigues Vives,30670,43.738480,4.180440
Aigues Vives,34210,43.337630,2.817990
Aiguèze,30760,44.302960,4.556620
Aiguilhe,43000,45.050230,3.882020
Aiguilles,05470,44.781920,6.869100
Aiguillon,47190,44.302480,0.342830
Aiguines,83630,43.775650,6.243470
Aigurande,36140,46.434000,1.830050
Ailhon,07200,44.597750,4.341980
Aillant sur Milleron,45230,47.792820,2.929880
Aillant sur Tholon,89110,47.874640,3.350510
Aillas,33124,44.474080,-0.073820
Ailleux,42130,45.803320,3.942970
Aillevans,70110,47.592350,6.414460
Ailleville,10200,48.252350,4.681770
Aillevillers et Lyaumont,70320,47.920730,6.335650
Aillianville,52700,48.343420,5.477610
Aillières Beauvoir,72600,48.404380,0.326400
Aillon le Jeune,73340,45.617890,6.079850
Aillon le Vieux,73340,45.651670,6.094730
Ailloncourt,70300,47.756020,6.385640
Ailly,27600,49.161520,1.244390
Ailly le Haut Clocher,80690,50.077030,1.994750
Ailly sur Meuse,55300,48.869200,5.551490
Ailly sur Noye,80250,49.756530,2.364060
Ailly sur Somme,80470,49.926100,2.198830
Aimargues,30470,43.685040,4.209120
Aime,73210,45.556960,6.653270
Ainay le Château,03360,46.711390,2.690380
Ainay le Vieil,18200,46.664960,2.552470
Aincille,64220,43.144900,-1.195110
Aincourt,95510,49.071920,1.776530
Aincreville,55110,49.367750,5.121200
Aingeray,54460,48.738670,6.002290
Aingeville,88140,48.206000,5.768040
Aingoulaincourt,52230,48.455890,5.286830
Ainharp,64130,43.260350,-0.930790
Ainhice Mongelos,64220,43.199210,-1.152230
Ainhoa,64250,43.306670,-1.498810
Ainvelle,70800,47.846510,6.250580
Ainvelle,88320,47.995860,5.827680
Airaines,80270,49.965760,1.942490
Airan,14370,49.101600,-0.152110
Aire,08190,49.481160,4.161620
Aire sur l'Adour,40800,43.704630,-0.261590
Aire sur la Lys,62120,50.637990,2.395590
Airel,50680,49.218100,-1.079450
Airion,60600,49.425020,2.416280
Airon Notre Dame,62180,50.437350,1.653150
Airon St Vaast,62180,50.431130,1.668840
Airoux,11320,43.363340,1.865830
Airvault,79600,46.826460,-0.138060
Aiserey,21110,47.173090,5.160900
Aisey et Richecourt,70500,47.889980,5.954360
Aisey sur Seine,21400,47.748380,4.576340
Aisonville et Bernoville,02110,49.933720,3.523020
Aïssey,25360,47.267890,6.331720
Aisy sous Thil,21390,47.394440,4.287520
Aisy sur Armançon,89390,47.667610,4.225530
Aiti,20244,42.399460,9.244870
Aiton,73220,45.560850,6.257510
Aix,19200,45.616030,2.382080
Aix,59310,50.491430,3.287120
Aix en Diois,26150,44.708030,5.416700
Aix en Ergny,62650,50.582480,1.998240
Aix en Issart,62170,50.477580,1.859850
Aix en Othe,10160,48.223470,3.738930
Aix en Provence,13090,43.524910,5.454140
Aix la Fayette,63980,45.516670,3.521250
Aix les Bains,73100,45.689500,5.915650
Aix Noulette,62160,50.425630,2.712950
Aixe sur Vienne,87700,45.795850,1.134580
Aizac,07530,44.713970,4.330030
Aizanville,52120,48.108190,4.894660
Aize,36150,47.103530,1.701290
Aizecourt le Bas,80240,49.981460,3.033180
Aizecourt le Haut,80200,49.964660,2.985300
Aizecq,16700,45.991610,0.281020
Aizelles,02820,49.488870,3.811750
Aizenay,85190,46.739810,-1.607580
Aizier,27500,49.430270,0.626760
Aizy Jouy,02370,49.435470,3.516450
Ajac,11300,43.048170,2.138620
Ajaccio,20000,41.918650,8.736880
Ajain,23380,46.207320,1.998970
Ajangua,97660,-12.837200,45.175800
Ajat,24210,45.155950,1.016450
Ajoncourt,57590,48.844980,6.289560
Ajou,27410,48.978960,0.782920
Ajoux,07000,44.765450,4.500310
Alaigne,11240,43.101680,2.091430
Alaincourt,02240,49.763950,3.375560
Alaincourt,70210,47.942220,6.101160
Alaincourt la Côte,57590,48.898180,6.339780
Alairac,11290,43.184200,2.240130
Alaise,25330,47.013880,5.973930
Alan,31420,43.229960,0.939080
Alando,20212,42.306640,9.290500
Alata,20167,41.976480,8.742990
Alba la Romaine,07400,44.555180,4.597260
Alban,81250,43.888120,2.460680
Albaret le Comtal,48310,44.875610,3.127420
Albaret Ste Marie,48200,44.889710,3.263780
Albas,11360,43.006060,2.734450
Albas,46140,44.468250,1.236630
Albé,67220,48.356530,7.317720
Albefeuille Lagarde,82290,44.050130,1.265070
Albens,73410,45.785950,5.945530
Albepierre Bredons,15300,45.078240,2.831910
Albert,80300,50.003690,2.647650
Albertacce,20224,42.327480,8.984010
Albertville,73200,45.677660,6.391800
Albestroff,57670,48.932660,6.855140
Albi,81000,43.927420,2.148250
Albiac,31460,43.552160,1.780350
Albiac,46500,44.765990,1.811380
Albias,82350,44.091150,1.449340
Albières,11330,42.946650,2.477770
Albiès,09310,42.774930,1.703450
Albiez le Jeune,73300,45.244690,6.351140
Albiez Montrond,73300,45.217390,6.341230
Albignac,19190,45.138970,1.677160
Albigny sur Saône,69250,45.865520,4.832100
Albine,81240,43.460910,2.539280
Albiosc,04550,43.741230,6.014840
Albitreccia,20128,41.861730,8.942180
Albon,26140,45.245030,4.847830
Albon d'Ardèche,07190,44.821290,4.429290
Alboussière,07440,44.944740,4.729900
Albussac,19380,45.139630,1.834640
Alby sur Chéran,74540,45.817270,6.020640
Alçay Alçabéhéty Sunharette,64470,43.103470,-0.893340
Aldudes,64430,43.098640,-1.427450
Alembon,62850,50.784220,1.886500
Alençon,61000,48.430650,0.083620
Alénya,66200,42.638230,2.981000
Aléria,20270,42.102960,9.512140
Alès,30100,44.127400,4.079030
Alet les Bains,11580,42.995540,2.255700
Alette,62650,50.517730,1.827460
Aleu,09320,42.893030,1.265470
Alex,74290,45.889830,6.237720
Alexain,53240,48.229820,-0.768400
Aleyrac,26770,44.498150,4.937060
Alfortville,94140,48.798680,2.423320
Algajola,20220,42.606510,8.864410
Algans,81470,43.596500,1.890900
Algolsheim,68600,48.006020,7.559110
Algrange,57440,49.356900,6.046690
Alièze,39270,46.588180,5.576540
Alignan du Vent,34290,43.470730,3.340990
Alincourt,08310,49.404270,4.345290
Alincthun,62142,50.731430,1.801740
Alise Ste Reine,21150,47.537510,4.487850
Alissas,07210,44.712240,4.629450
Alix,69380,45.911850,4.652660
Alixan,26300,44.974990,5.027670
Alizay,27460,49.320450,1.174550
Allain,54170,48.549750,5.910800
Allaines,80200,49.960910,2.944080
Allaines Mervilliers,28310,48.204170,1.824530
Allainville,28500,48.721790,1.302300
Allainville,78660,48.456600,1.896780
Allainville en Beauce,45480,48.237490,2.059690
Allaire,56350,47.636500,-2.165180
Allamont,54800,49.123920,5.763260
Allamps,54112,48.547560,5.810090
Allan,26780,44.499110,4.786420
Allanche,15160,45.227770,2.934430
Alland'Huy et Sausseuil,08130,49.521220,4.540780
Allarmont,88110,48.482770,7.012540
Allas Bocage,17150,45.383880,-0.492070
Allas Champagne,17500,45.470510,-0.335250
Allas les Mines,24220,44.833280,1.072630
Allassac,19240,45.257970,1.475660
Allauch,13190,43.336300,5.481910
Allègre,43270,45.198750,3.710240
Allègre les Fumades,30500,44.199090,4.233130
Alleins,13980,43.703210,5.162230
Allemagne en Provence,04500,43.781080,6.007840
Allemanche Launay et Soyer,51260,48.593130,3.785230
Allemans,24600,45.287680,0.309000
Allemans du Dropt,47800,44.627940,0.290840
Allemant,02320,49.460520,3.451470
Allemant,51120,48.760780,3.799570
Allemond,38114,45.130440,6.036100
Allenay,80130,50.086630,1.490280
Allenc,48190,44.541760,3.661810
Allenjoie,25490,47.534250,6.896860
Allennes les Marais,59251,50.536050,2.952910
Allenwiller,67310,48.655450,7.375850
Allerey,21230,47.190640,4.438550
Allerey sur Saône,71350,46.905510,4.985060
Allériot,71380,46.815420,4.945850
Allery,80270,49.962960,1.898210
Alles sur Dordogne,24480,44.858980,0.866900
Alleuze,15100,44.957520,3.089770
Allevard,38580,45.393970,6.075050
Allèves,74540,45.751830,6.080530
Allex,26400,44.764080,4.915680
Alleyrac,43150,44.890540,3.984820
Alleyras,43580,44.905590,3.684330
Alleyrat,19200,45.576090,2.215970
Alleyrat,23200,45.989270,2.145740
Allez et Cazeneuve,47110,44.392480,0.629810
Alliancelles,51250,48.809340,4.883520
Alliat,09400,42.817340,1.586490
Allibaudières,10700,48.586030,4.107960
Allichamps,52130,48.560450,4.892820
Allier,65360,43.177100,0.116980
Allières,09240,43.036220,1.365280
Alligny Cosne,58200,47.454360,3.062130
Alligny en Morvan,58230,47.201420,4.176430
Allineuc,22460,48.310920,-2.872470
Allinges,74200,46.335750,6.465020
Allogny,18110,47.225100,2.319620
Allondans,25550,47.519010,6.749470
Allondaz,73200,45.705070,6.370940
Allondrelle la Malmaison,54260,49.509540,5.565610
Allonne,60000,49.404250,2.112410
Allonne,79130,46.582110,-0.382770
Allonnes,28150,48.330180,1.657950
Allonnes,49650,47.296820,0.015960
Allonnes,72700,47.968810,0.160030
Allons,04170,43.977070,6.595150
Allons,47420,44.202520,-0.054430
Allonville,80260,49.939960,2.361790
Allonzier la Caille,74350,46.002940,6.116530
Allos,04260,44.240780,6.628860
Allouagne,62157,50.529740,2.509240
Alloue,16490,46.025980,0.516100
Allouis,18500,47.166340,2.227050
Allouville Bellefosse,76190,49.596050,0.676900
Alluy,58110,47.033250,3.643700
Alluyes,28800,48.229070,1.360310
Ally,15700,45.173730,2.313500
Ally,43380,45.159900,3.312970
Almayrac,81190,44.101410,2.168450
Almenêches,61570,48.697220,0.109700
Almont les Junies,12300,44.596670,2.293140
Alo,98610,-14.320510,-178.123800
Alos,09200,42.908300,1.144990
Alos,81140,44.023720,1.874900
Alos Sibas Abense,64470,43.119780,-0.876420
Aloxe Corton,21420,47.065590,4.860650
Alpuech,12210,44.762570,2.848340
Alquines,62850,50.740300,1.993250
Alrance,12430,44.131540,2.682680
Alsting,57515,49.183580,6.989420
Altagène,20112,41.706480,9.069480
Alteckendorf,67270,48.788800,7.599420
Altenach,68210,47.607700,7.113110
Altenbach,68760,47.879030,7.090190
Altenheim,67490,48.719090,7.464270
Altenstadt,67160,49.030360,7.968090
Althen des Paluds,84210,44.004840,4.958530
Altiani,20251,42.237420,9.292650
Altier,48800,44.474170,3.861170
Altillac,19120,44.977800,1.846570
Altkirch,68130,47.623290,7.239060
Altorf,67120,48.521730,7.527500
Altrippe,57660,49.029130,6.821130
Altviller,57730,49.072380,6.731760
Altwiller,67260,48.929420,6.979670
Aluze,71510,46.847040,4.685370
Alvignac,46500,44.826210,1.695710
Alvimare,76640,49.603990,0.629910
Alzen,09240,42.986150,1.472490
Alzi,20212,42.304000,9.302120
Alzing,57320,49.278920,6.552750
Alzon,30770,43.966060,3.439370
Alzonne,11170,43.254120,2.177460
Amage,70280,47.836780,6.490100
Amagne,08300,49.516990,4.505600
Amagney,25220,47.306990,6.153840
Amailloux,79350,46.746770,-0.317890
Amance,10140,48.295910,4.513770
Amance,54770,48.754160,6.277900
Amance,70160,47.801390,6.059090
Amancey,25330,47.037440,6.071150
Amancy,74800,46.074020,6.329460
Amange,39700,47.164310,5.564870
Amanlis,35150,48.008240,-1.476070
Amanty,55130,48.518290,5.611790
Amanvillers,57865,49.167380,6.043350
Amanzé,71800,46.331750,4.242020
Amarens,81170,44.038310,1.913960
Amathay Vésigneux,25330,47.023530,6.198500
Amayé sur Orne,14210,49.085700,-0.439240
Amayé sur Seulles,14310,49.079790,-0.715430
Amazy,58190,47.376660,3.578070
Ambacourt,88500,48.347710,6.143490
Ambarès et Lagrave,33440,44.927140,-0.490370
Ambax,31230,43.368090,0.934580
Ambazac,87240,45.958240,1.401030
Ambel,38970,44.805370,5.930460
Ambenay,27250,48.836470,0.728680
Ambérac,16140,45.852390,0.067510
Ambérieu en Bugey,01500,45.957780,5.358830
Ambérieux,69480,45.927780,4.737550
Ambérieux en Dombes,01330,45.997470,4.903210
Ambernac,16490,45.981390,0.540830
Amberre,86110,46.767070,0.163820
Ambert,63600,45.550620,3.739440
Ambès,33810,45.013620,-0.530070
Ambeyrac,12260,44.509490,1.944370
Ambialet,81430,43.944770,2.377900
Ambiegna,20151,42.083950,8.791670
Ambierle,42820,46.104050,3.896300
Ambiévillers,70210,47.975740,6.156330
Ambillou,37340,47.451700,0.445050
Ambillou Château,49700,47.262140,-0.343460
Ambilly,74100,46.192780,6.224460
Amblaincourt,55250,48.963370,5.217250
Amblainville,60110,49.201350,2.119540
Amblans et Velotte,70200,47.679570,6.409480
Ambleny,02290,49.380450,3.183410
Ambléon,01300,45.749540,5.601380
Ambleteuse,62164,50.811260,1.607540
Ambleville,16300,45.552770,-0.221370
Ambleville,95710,49.150500,1.696960
Amblie,14480,49.292440,-0.487210
Amblimont,08210,49.628740,5.062020
Ambloy,41310,47.714930,0.970700
Ambly Fleury,08130,49.488700,4.497850
Ambly sur Meuse,55300,49.019540,5.441070
Amboise,37400,47.410360,0.981120
Ambon,56190,47.554510,-2.558540
Ambonil,26800,44.794110,4.908490
Ambonnay,51150,49.077630,4.171250
Ambonville,52110,48.311510,5.015280
Ambourville,76480,49.466640,0.925480
Ambrault,36120,46.784900,1.959440
Ambres,81500,43.732180,1.813350
Ambricourt,62310,50.471070,2.177330
Ambrief,02200,49.316500,3.403430
Ambrières,51290,48.633290,4.841400
Ambrières les Vallées,53300,48.402440,-0.626200
Ambrines,62127,50.311450,2.469470
Ambronay,01500,46.006460,5.360250
Ambrugeat,19250,45.526740,2.117770
Ambrumesnil,76550,49.857490,0.994550
Ambrus,47160,44.228050,0.244340
Ambutrix,01500,45.939610,5.338470
Amécourt,27140,49.378740,1.731520
Amel sur l'Étang,55230,49.267330,5.648010
Amelécourt,57170,48.839660,6.501680
Amélie les Bains Palalda,66110,42.472170,2.668920
Amendeuix Oneix,64120,43.342360,-1.046540
Amenoncourt,54450,48.627520,6.788930
Amenucourt,95510,49.106110,1.641640
Ames,62190,50.541890,2.417500
Amettes,62260,50.530190,2.393350
Ameugny,71460,46.525850,4.678490
Ameuvelle,88410,47.942950,5.949690
Amfreville,14860,49.247440,-0.233240
Amfreville,50480,49.410290,-1.392830
Amfreville la Campagne,27370,49.212580,0.930510
Amfreville la Mi Voie,76920,49.399540,1.125600
Amfreville les Champs,27380,49.310270,1.318860
Amfreville les Champs,76560,49.697420,0.816980
Amfreville sous les Monts,27380,49.305490,1.259050
Amfreville sur Iton,27400,49.150310,1.156070
Amfroipret,59144,50.279420,3.733860
Amiens,80000,49.893920,2.294240
Amifontaine,02190,49.483140,3.916060
Amigny,50620,49.155420,-1.179480
Amigny Rouy,02700,49.608310,3.302380
Amillis,77120,48.739890,3.129070
Amilly,28300,48.443100,1.395370
Amilly,45200,47.974430,2.767800
Amions,42260,45.877540,4.033840
Amirat,06910,43.890640,6.827540
Ammerschwihr,68770,48.127510,7.281110
Ammerzwiller,68210,47.688770,7.168390
Ammeville,14170,48.941340,0.033360
Amné,72540,48.039400,-0.059530
Amnéville,57360,49.260220,6.142440
Amoncourt,70170,47.736260,6.063330
Amondans,25330,47.068910,6.041240
Amont et Effreney,70310,47.886970,6.558170
Amorots Succos,64120,43.366560,-1.111600
Amou,40330,43.590050,-0.748460
Ampilly le Sec,21400,47.808720,4.532820
Ampilly les Bordes,21450,47.632290,4.629020
Amplepuis,69550,45.973140,4.332880
Amplier,62760,50.108290,2.377560
Ampoigné,53200,47.811050,-0.825080
Amponville,77760,48.279190,2.529540
Ampriani,20272,42.253110,9.356960
Ampuis,69420,45.488450,4.807920
Ampus,83111,43.606190,6.382250
Amuré,79210,46.263340,-0.630990
Amy,60310,49.651860,2.819870
Anaa,98760,-17.341860,-145.508720
Anais,16560,45.773850,0.208550
Anais,17540,46.187200,-0.908610
Anan,31230,43.355960,0.814160
Ance,64570,43.145520,-0.691620
Anceaumeville,76710,49.574990,1.063860
Anceins,61550,48.864780,0.500730
Ancelle,05260,44.623890,6.205420
Ancemont,55320,49.070670,5.407270
Ancenis,44150,47.366150,-1.175990
Ancerville,55170,48.635980,5.021620
Ancerville,57580,49.030490,6.386490
Ancerviller,54450,48.532440,6.835830
Ancey,21410,47.329360,4.826420
Anchamps,08500,49.930840,4.674380
Anché,37500,47.135540,0.310360
Anché,86700,46.343610,0.266010
Anchenoncourt et Chazel,70210,47.849000,6.093000
Ancienville,02600,49.216460,3.213810
Ancier,70100,47.446960,5.632630
Ancinnes,72610,48.367700,0.177770
Ancizan,65440,42.873250,0.337980
Ancône,26200,44.582850,4.725750
Ancourt,76370,49.910360,1.180010
Ancourteville sur Héricourt,76560,49.696510,0.660900
Ancretiéville St Victor,76760,49.652970,0.969280
Ancretteville sur Mer,76540,49.790290,0.509960
Ancteville,50200,49.103330,-1.478370
Anctoville,14240,49.105580,-0.706890
Anctoville sur Boscq,50400,48.843730,-1.532610
Ancy,69490,45.838030,4.508810
Ancy le Franc,89160,47.776590,4.164160
Ancy le Libre,89160,47.801040,4.119020
Ancy sur Moselle,57130,49.057930,6.058110
Andainville,80140,49.892030,1.785380
Andance,07340,45.241050,4.799040
Andancette,26140,45.242140,4.805650
Andard,49800,47.456630,-0.397320
Andé,27430,49.230160,1.240450
Andechy,80700,49.715190,2.708590
Andel,22400,48.490240,-2.566730
Andelain,02800,49.642300,3.369100
Andelaroche,03120,46.254080,3.747200
Andelarre,70000,47.590460,6.097070
Andelarrot,70000,47.580780,6.103750
Andelat,15100,45.060390,3.062260
Andelnans,90400,47.602380,6.867890
Andelot Blancheville,52700,48.243860,5.299200
Andelot en Montagne,39110,46.852520,5.935390
Andelot Morval,39320,46.416400,5.438270
Andelu,78770,48.878940,1.821340
Andernay,55800,48.791070,4.954120
Andernos les Bains,33510,44.745530,-1.103540
Anderny,54560,49.335060,5.881700
Andert et Condon,01300,45.782470,5.664470
Andevanne,08240,49.390510,5.080020
Andeville,60570,49.259000,2.165920
Andigné,49220,47.666790,-0.778310
Andillac,81140,43.999470,1.890790
Andilly,17230,46.254180,-1.028040
Andilly,54200,48.766090,5.881460
Andilly,74350,46.068690,6.073780
Andilly,95580,49.004750,2.299760
Andilly en Bassigny,52360,47.922640,5.524530
Andiran,47170,44.097850,0.277210
Andlau,67140,48.386040,7.418050
Andoins,64420,43.304900,-0.228980
Andolsheim,68280,48.061740,7.416000
Andon,06750,43.773790,6.785710
Andonville,45480,48.271290,2.030880
Andornay,70200,47.656010,6.593800
Andouillé,53240,48.176630,-0.784470
Andouillé Neuville,35250,48.306060,-1.588420
Andouque,81350,44.005660,2.306780
Andrein,64390,43.391760,-0.899850
Andres,62340,50.863050,1.918040
Andrest,65390,43.316410,0.060710
Andrésy,78570,48.979830,2.059260
Andrezé,49600,47.170360,-0.955020
Andrezel,77390,48.611610,2.813500
Andrézieux Bouthéon,42160,45.525330,4.256950
Andryes,89480,47.518590,3.485810
Anduze,30140,44.055070,3.985140
Anéran Camors,65510,42.833150,0.413440
Anères,65150,43.068530,0.466160
Anet,28260,48.854020,1.438530
Anetz,44150,47.381790,-1.102490
